"Datum" "Schluss"
"15.01.07 17:35" 156.75
"16.01.07 17:35" 155.72
"17.01.07 17:35" 154.21
"18.01.07 17:35" 151.24
"19.01.07 17:36" 151.9
"22.01.07 17:35" 149.69
"23.01.07 17:36" 149.28
"24.01.07 17:35" 151.84
"25.01.07 17:30" 150.37
"26.01.07 17:36" 147.78
"29.01.07 17:35" 151.17
"30.01.07 17:35" 153.11
"31.01.07 17:35" 153
"01.02.07 17:35" 154.18
"02.02.07 17:35" 155.35
"05.02.07 17:30" 155.7
"06.02.07 17:35" 155.92
"07.02.07 17:35" 156.79
"08.02.07 17:35" 156.29
"09.02.07 17:35" 156.67
"12.02.07 17:35" 154.35
"13.02.07 17:35" 155.28
"14.02.07 17:35" 156.54
"15.02.07 17:35" 156.31
"16.02.07 17:35" 155.62
"19.02.07 17:35" 155.94
"20.02.07 17:35" 155.19
"21.02.07 17:35" 156.55
"22.02.07 17:30" 162.96
"23.02.07 17:35" 164.07
"26.02.07 17:36" 169
"27.02.07 17:30" 162.59
"27.02.07 17:30" 162.59
"28.02.07 17:35" 162.78
"01.03.07 17:35" 158.86
"02.03.07 17:35" 157.25
"05.03.07 17:36" 155.5
"06.03.07 17:35" 156.84
"07.03.07 17:35" 156.39
"08.03.07 17:30" 158.01
"09.03.07 17:30" 157.89
"12.03.07 17:35" 156.99
"13.03.07 17:30" 154.75
"14.03.07 17:30" 148.26
"15.03.07 17:35" 149.01
"16.03.07 00:00" 149.01
"19.03.07 17:35" 151.5
"20.03.07 17:35" 151.72
"21.03.07 17:35" 151.09
"22.03.07 17:35" 156.7
"23.03.07 17:35" 156.31
"26.03.07 17:36" 153.59
"27.03.07 17:35" 154.04
"28.03.07 17:35" 152.37
"29.03.07 17:36" 154.26
"30.03.07 17:35" 153.71
"02.04.07 17:36" 154.95
"03.04.07 17:35" 157.5
"04.04.07 17:30" 158
"05.04.07 17:35" 157.85
"10.04.07 17:30" 158.21
"11.04.07 17:30" 158.89
"12.04.07 17:35" 159.63
"13.04.07 17:35" 161.1
"16.04.07 17:30" 165.67
"17.04.07 17:30" 165.5
"18.04.07 17:35" 163.7
"19.04.07 17:36" 162.03
"20.04.07 17:30" 165.5
"23.04.07 17:35" 164.75
"24.04.07 17:35" 162.6
"25.04.07 17:35" 164.27
"26.04.07 17:35" 164.27
"27.04.07 17:35" 165.9
"30.04.07 17:35" 165.9
"02.05.07 17:30" 166.7
"03.05.07 17:30" 163.11
"04.05.07 17:35" 164.51
"07.05.07 17:35" 163.82
"08.05.07 17:30" 160.91
"09.05.07 17:35" 161.7
"10.05.07 17:35" 160.01
"11.05.07 17:30" 160.42
"14.05.07 17:35" 159.8
"15.05.07 17:30" 161.64
"16.05.07 17:30" 159.66
"17.05.07 17:35" 160
"18.05.07 17:35" 161.36
"21.05.07 17:35" 161.35
"22.05.07 17:35" 162.96
"23.05.07 17:35" 163.25
"24.05.07 17:30" 161.67
"25.05.07 17:35" 162.91
"29.05.07 17:35" 163.38
"30.05.07 17:30" 162.1
"31.05.07 17:30" 165
"01.06.07 17:35" 170.1
"04.06.07 17:35" 172.65
"05.06.07 17:36" 171.2
"06.06.07 17:30" 168.5
"07.06.07 17:35" 165.73
"08.06.07 17:35" 163.1
"11.06.07 17:30" 168.66
"12.06.07 17:35" 167.89
"13.06.07 17:30" 166.03
"14.06.07 17:35" 169.03
"15.06.07 17:30" 173.03
"18.06.07 17:35" 174.06
"19.06.07 17:30" 175.05
"20.06.07 17:36" 178.64
"21.06.07 17:30" 174.71
"22.06.07 17:30" 177.57
"25.06.07 17:30" 178.3
"26.06.07 17:35" 174.28
"27.06.07 17:35" 170.86
"28.06.07 17:35" 172.58
"29.06.07 17:30" 173.59
"02.07.07 17:35" 169.91
"03.07.07 17:35" 172.98
"04.07.07 17:35" 174.22
"05.07.07 17:35" 171.16
"06.07.07 17:30" 171.1
"09.07.07 17:35" 171.56
"10.07.07 17:30" 170.21
"11.07.07 17:35" 167.77
"12.07.07 17:30" 170.95
"13.07.07 17:30" 173.03
"16.07.07 17:30" 174.62
"17.07.07 17:35" 172.72
"18.07.07 17:35" 169.14
"19.07.07 17:30" 170.55
"20.07.07 17:30" 166.71
"23.07.07 17:30" 167.99
"24.07.07 17:35" 163.89
"25.07.07 17:30" 160.25
"26.07.07 17:30" 156
"27.07.07 17:30" 152.89
"30.07.07 17:30" 152.04
"31.07.07 17:35" 156.39
"01.08.07 17:30" 153.92
"02.08.07 17:35" 156.6
"03.08.07 17:35" 153.79
"06.08.07 17:30" 154.6
"07.08.07 17:30" 158
"08.08.07 17:35" 161.36
"09.08.07 17:30" 157.48
"10.08.07 17:30" 153.29
"13.08.07 17:35" 157.39
"14.08.07 17:35" 155.5
"15.08.07 17:30" 154.36
"16.08.07 17:30" 152.64
"17.08.07 17:35" 158.03
"20.08.07 17:30" 159.14
"21.08.07 17:29" 158.7
"22.08.07 17:30" 159.95
"23.08.07 17:30" 159.11
"24.08.07 17:30" 157.65
"27.08.07 17:30" 156.67
"28.08.07 17:30" 154.75
"29.08.07 17:30" 154.41
"30.08.07 17:30" 155.56
"31.08.07 17:30" 157.32
"03.09.07 17:35" 156.4
"04.09.07 17:30" 158.56
"05.09.07 17:30" 155.55
"06.09.07 17:30" 156.47
"07.09.07 17:30" 151.86
"10.09.07 17:30" 150.8
"11.09.07 17:30" 151.74
"12.09.07 17:30" 150.51
"13.09.07 17:35" 150.6
"14.09.07 17:30" 149.52
"17.09.07 17:30" 148.7
"18.09.07 17:30" 151.68
"19.09.07 17:30" 158
"20.09.07 17:35" 157.36
"21.09.07 17:30" 161
"24.09.07 17:30" 159.91
"25.09.07 17:30" 159.15
"26.09.07 17:35" 160.49
"27.09.07 17:30" 163.49
"28.09.07 17:30" 163.85
"01.10.07 17:35" 163.95
"02.10.07 17:35" 165.41
"03.10.07 17:35" 165
"04.10.07 17:30" 165.2
"05.10.07 17:30" 164.23
"08.10.07 17:35" 163.67
"09.10.07 17:35" 163.58
"10.10.07 17:35" 163.33
"11.10.07 17:35" 162.5
"12.10.07 17:30" 162.5
"15.10.07 17:30" 161.03
"16.10.07 17:30" 161.12
"17.10.07 17:30" 162.26
"18.10.07 17:35" 159.46
"19.10.07 17:30" 156.14
"22.10.07 17:34" 154.78
"23.10.07 17:35" 154.66
"24.10.07 17:30" 152.02
"25.10.07 17:35" 150.5
"26.10.07 17:30" 151.16
"29.10.07 17:35" 151.89
"30.10.07 17:30" 153.75
"31.10.07 17:30" 155.22
"01.11.07 17:30" 151.8
"02.11.07 17:30" 150.8
"05.11.07 17:30" 148.87
"06.11.07 17:30" 146.24
"07.11.07 17:30" 143.57
"08.11.07 17:35" 141.38
"09.11.07 17:35" 141.3
"12.11.07 17:35" 144.02
"13.11.07 17:35" 144.67
"14.11.07 17:30" 145.98
"15.11.07 17:30" 143
"16.11.07 17:30" 141.77
"19.11.07 17:30" 137.8
"20.11.07 17:30" 138
"21.11.07 17:30" 134.65
"22.11.07 17:35" 134.93
"23.11.07 17:30" 136.26
"26.11.07 17:30" 134
"27.11.07 17:30" 133.92
"28.11.07 17:30" 138.97
"29.11.07 17:29" 139.26
"30.11.07 17:35" 141
"03.12.07 17:30" 138.93
"04.12.07 17:35" 137.61
"05.12.07 17:30" 139.25
"06.12.07 17:30" 139.98
"07.12.07 17:30" 143.75
"10.12.07 17:30" 145.14
"11.12.07 17:35" 145.86
"12.12.07 17:30" 147
"13.12.07 17:30" 143.65
"14.12.07 17:35" 144.3
"17.12.07 17:29" 141.71
"18.12.07 17:35" 142.82
"19.12.07 17:30" 141.5
"20.12.07 17:30" 142
"21.12.07 17:35" 146.43
"27.12.07 17:35" 147.07
"28.12.07 14:05" 147.95
